出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利
"1100421","109","4","2617","台灣航業股份有限公司","航運業","1.24","新台幣                 10.0000元","2491088.00","461188.00","251159.00","518147.00"
"1100421","109","4","2618","長榮航空股份有限公司","航運業","-0.69","新台幣                 10.0000元","89048776.00","-827124.00","-3491812.00","-3276719.00"
"1100421","109","4","2630","亞洲航空股份有限公司","航運業","0.32","新台幣                 10.0000元","3895091.00","-40241.00","73469.00","42388.00"
"1100421","109","4","2633","台灣高速鐵路股份有限公司","航運業","1.04","新台幣                 10.0000元","39137205.00","11806685.00","-6387374.00","5843037.00"
"1100421","109","4","2634","漢翔航空工業股份有限公司","航運業","0.42","新台幣                 10.0000元","21042937.00","179824.00","299799.00","395858.00"
"1100421","109","4","2636","台驊國際投資控股股份有限公司","航運業","4.72","新台幣                 10.0000元","15160243.00","695906.00","5104.00","570727.00"
"1100421","109","4","2637","慧洋海運股份有限公司","航運業","0.15","新台幣                 10.0000元","11939433.00","1498019.00","-1370760.00","111414.00"
"1100421","109","4","2642","台灣宅配通股份有限公司","航運業","2.19","新台幣                 10.0000元","3983309.00","244755.00","12868.00","209015.00"
"1100421","109","4","2701","萬華企業股份有限公司","觀光事業","0.39","新台幣                 10.0000元","264691.00","137940.00","71668.00","174120.00"
"1100421","109","4","2702","華園飯店股份有限公司","觀光事業","-2.45","新台幣                 10.0000元","741703.00","-199426.00","-294434.00","-270309.00"
"1100421","109","4","2704","國賓大飯店股份有限公司","觀光事業","0.01","新台幣                 10.0000元","2008699.00","-276011.00","281245.00","3255.00"
"1100421","109","4","2705","六福開發股份有限公司","觀光事業","-2.01","新台幣                 10.0000元","1490520.00","-376993.00","-406.00","-374392.00"
"1100421","109","4","2706","第一華僑大飯店股份有限公司","觀光事業","0.32","新台幣                 10.0000元","264866.00","165374.00","35748.00","160741.00"
"1100421","109","4","2707","晶華國際酒店股份有限公司","觀光事業","5.18","新台幣                 10.0000元","5422910.00","734073.00","147062.00","732868.00"
"1100421","109","4","2712","遠雄悅來大飯店股份有限公司","觀光事業","0.93","新台幣                 10.0000元","573115.00","100143.00","14595.00","97370.00"
"1100421","109","4","2722","夏都國際開發股份有限公司","觀光事業","0.79","新台幣                 10.0000元","736669.00","84706.00","18674.00","85030.00"
